"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"282","Anthodiscus amazonicus","tropical","AM",0,"angiosperm",25.3083333969116,3115
"283","Anthonotha fragrans","tropical","ECM",0,"angiosperm",24.8083332379659,2652
"286","Antiaris africana","tropical","AM",0,"angiosperm",25.5083334445953,1206
"287","Antiaris toxicaria","tropical","AM",0,"angiosperm",22.5958334207535,1650
"288","Antirhea trichantha","tropical","AM",0,"angiosperm",27.1041668256124,2101
"289","Antonia ovata","tropical","AM",0,"angiosperm",25.4916667938232,3106
"290","Aparisthmium cordatum","tropical","AM",0,"angiosperm",25.6738095169976,1966.78571428571
"291","Apeiba aspera","tropical","AM",0,"angiosperm",25.7562499841054,2132.5
"292","Apeiba glabra","tropical","AM",0,"angiosperm",25.6130208770434,2916.25
"293","Apeiba membranacea","tropical","AM",0,"angiosperm",25.3083333969116,3115
"294","Apeiba petoumo","tropical","AM",0,"angiosperm",25.4895833730698,2994.5
"296","Aphanamixis polystachya","tropical","AM",0,"angiosperm",22.4781250804663,1576.5
"297","Aphananthe aspera","temperate","AM",0,"angiosperm",15.8156250044703,1068.75
"298","Aphelandra scabra","tropical","AM",0,"angiosperm",26.5645832220713,1718.5
"299","Apodytes brachystylis","tropical","AM",0,"angiosperm",18.8791665236155,2056
"300","Apodytes dimidiata","temperate","AM",0,"angiosperm",18.3125000860956,819.666666666667
"301","Apoplanesia paniculata","tropical","AM",1,"angiosperm",26.0319443808662,791.333333333333
"302","Aptandra liriosmoides","tropical","AM",0,"angiosperm",26.3249999682109,2584
"303","Aptandra tubicina","tropical","AM",0,"angiosperm",25.3083333969116,3115
"304","Apuleia leiocarpa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"305","Arachnothryx buddleioides","tropical","AM",0,"angiosperm",13.890476158687,2380.42857142857
"306","Aralia chinensis","temperate","AM",0,"angiosperm",15.654761860768,1067.85714285714
"307","Aralia elata","temperate","AM",0,"angiosperm",4.10500001360973,802.2
"308","Araucaria angustifolia","tropical","AM",0,"gymnosperm",20.5208333730698,1443
"310","Arbutus andrachne","temperate","ECM",0,"angiosperm",13.1697917251537,440.75
"311","Arbutus arizonica","tropical","ECM",0,"angiosperm",14.395833303531,552
"313","Arbutus menziesii","temperate","ECM",0,"angiosperm",13.6896825040144,704.047619047619
"314","Arbutus unedo","temperate","ECM",0,"angiosperm",12.4759868843323,617.991228070175
"315","Arbutus xalapensis","tropical","ECM",0,"angiosperm",16.039583320419,649
"316","Archidendron clypearia","tropical","AM",1,"angiosperm",20.4499999682109,1644
"319","Arctostaphylos glandulosa","tropical","ECM",0,"angiosperm",16.6375000476837,561
"320","Arctostaphylos glauca","tropical","ECM",0,"angiosperm",16.6375000476837,561
"323","Arctostaphylos patula","temperate","ECM",0,"angiosperm",9.59999983509382,302
"327","Arctostaphylos uva-ursi","boreal","ECM",0,"angiosperm",-0.574999976670369,435.4375
"328","Arctostaphylos viscida","temperate","ECM",0,"angiosperm",12.2732142835545,666.714285714286
"329","Arctous alpina","boreal","ECM",0,"angiosperm",-3.911111110097,583
"330","Ardisia crenata","tropical","AM",0,"angiosperm",16.4402777796818,1375.33333333333
"331","Ardisia divergens","tropical","AM",0,"angiosperm",21.0083332856496,1818
"334","Ardisia hanceana","tropical","AM",0,"angiosperm",21.0083332856496,1818
"335","Ardisia japonica","tropical","AM",0,"angiosperm",15.72500012815,1293
"336","Ardisia lindleyana","tropical","AM",0,"angiosperm",20.2816667437553,1559.2
"337","Ardisia polysticta","tropical","AM",0,"angiosperm",22.5958334207535,1650
"338","Ardisia punctata","tropical","AM",0,"angiosperm",20.8458333479034,1747.66666666667
"339","Ardisia pusilla","temperate","AM",0,"angiosperm",16.1708332747221,1165
"340","Ardisia quinquegona","tropical","AM",0,"angiosperm",20.9736458013455,1803.575
"341","Ardisia semibulada","tropical","AM",0,"angiosperm",25.3083333969116,3115
"342","Ardisia thyrsiflora","tropical","AM",0,"angiosperm",21.6624999841054,1698
"346","Aristotelia serrata","temperate","AM",0,"angiosperm",10.4953431837699,2661.52941176471
"347","Artabotrys honkongensis","tropical","AM",0,"angiosperm",19.6041667064031,1564
"348","Artemisia frigida","temperate","AM",0,"angiosperm",1.93050594194349,306.928571428571
"349","Artemisia herba-alba","temperate","AM",0,"angiosperm",12.5833331545194,210
"350","Artemisia maritima","boreal","AM",0,"angiosperm",9.18541676178575,743
